time,ppg_signal,subject_id
0,-0.00516245244,1
0.01000166694,0.1155033626,1
0.02000333389,0.2398208744,1
0.03000500083,0.3395290625,1
0.04000666778,0.4727720373,1
0.05000833472,0.5308693842,1
0.06001000167,0.6140135586,1
0.07001166861,0.6864706818,1
0.08001333556,0.7313148898,1
0.0900150025,0.7475889585,1
0.1000166694,0.7985218442,1
0.1100183364,0.7926953291,1
0.1200200033,0.7528076347,1
0.1300216703,0.7308679424,1
0.1400233372,0.7062203052,1
0.1500250042,0.6298188936,1
0.1600266711,0.5843168481,1
0.1700283381,0.5237886271,1
0.180030005,0.4428605203,1
0.1900316719,0.3786481028,1
0.2000333389,0.317473758,1
0.2100350058,0.248642803,1
0.2200366728,0.1822102884,1
0.2300383397,0.1552905613,1
0.2400400067,0.107326047,1
0.2500416736,0.06241877733,1
0.2600433406,0.06451909396,1
0.2700450075,0.04077629537,1
0.2800466744,0.007927620389,1
0.2900483414,-0.001462460268,1
0.3000500083,-0.008107027478,1
0.3100516753,0.01661716669,1
0.3200533422,0.01402269259,1
0.3300550092,0.001463175823,1
0.3400566761,-0.01157666546,1
0.3500583431,-0.008091201535,1
0.36006001,-0.03776164491,1
0.3700616769,-0.03302107548,1
0.3800633439,-0.08048469685,1
0.3900650108,-0.1100809132,1
0.4000666778,-0.1653597073,1
0.4100683447,-0.2208423149,1
0.4200700117,-0.2828503857,1
0.4300716786,-0.338964493,1
0.4400733456,-0.3923493647,1
0.4500750125,-0.4832193494,1
0.4600766794,-0.543163736,1
0.4700783464,-0.6075344613,1
0.4800800133,-0.647576365,1
0.4900816803,-0.7137600266,1
0.5000833472,-0.7435004203,1
0.5100850142,-0.7591544015,1
0.5200866811,-0.7844249957,1
0.5300883481,-0.7822705803,1
0.540090015,-0.7734955203,1
0.5500916819,-0.7121362867,1
0.5600933489,-0.677466854,1
0.5700950158,-0.613446092,1
0.5800966828,-0.5258962249,1
0.5900983497,-0.4345135002,1
0.6001000167,-0.3154039931,1
0.6101016836,-0.2169865969,1
0.6201033506,-0.0866791763,1
0.6301050175,0.01293267627,1
0.6401066844,0.1548940023,1
0.6501083514,0.2697636302,1
0.6601100183,0.3750552662,1
0.6701116853,0.4690819828,1
0.6801133522,0.5760700925,1
0.6901150192,0.6297868003,1
0.7001166861,0.6862284212,1
0.7101183531,0.7419864098,1
0.72012002,0.7797451593,1
0.7301216869,0.7683498307,1
0.7401233539,0.7789609034,1
0.7501250208,0.7399229444,1
0.7601266878,0.7319834925,1
0.7701283547,0.7048160812,1
0.7801300217,0.6415385824,1
0.7901316886,0.5762930284,1
0.8001333556,0.5033521226,1
0.8101350225,0.4429837203,1
0.8201366894,0.3667799438,1
0.8301383564,0.3020353119,1
0.8401400233,0.2446453173,1
